album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Lover,afterglow,False,False,afterglow,113,NONE,A-D-E-D,A-D-E-F#m-E-D,A-E_Bm-D-A,NONE,A-E-Bm,A-E-Bm-D
Lover,cruel summer,False,False,cruel summer,104,A,D-E-C#m-F#m,D-E-C#m-F#m,A-C#m-F#m-D,NONE,A-C#m-F#m-D,BRIDGE
Fearless (Taylor's Version),white horse (taylor's version),False,False,white horse taylors version,54,C-F-Am-F,C-F-Am-F,Am-F-G,C-Am-F-G,NONE,Am-G-F-C-G-F-Bb,Am-F-C-F
The Tortured Poets Department,loml,False,False,loml,211,C-Am-G,C-Am-G,NONE,C-Am-G,F-Am-G-C-Am-G,Dm-Em-F-G-C,NONE
The Tortured Poets Department,the bolter,False,False,the bolter,220,C,C-G-F,NONE,C-G-F,NONE,G-Am-C,NONE
RED (Taylor's Version),the very first night (taylor's version) (from the vault),False,False,the very first night taylors version from the vault,138,CHORUS,G-D-Em-C,Am-C-G-D,C-G-D-C-Em-D,C-Em-D-C,C-G-D-Em-A-C-D,NONE
1989 (Taylor's Version),out of the woods (taylor's version),False,False,out of the woods taylors version,14,NONE,C-G-Am-F,NONE,C-G-Am-F,NONE,C-G-Am-F,NC
1989 (Taylor's Version),is it over now? (taylor's version) (from the vault),False,False,is it over now? taylors version from the vault,9,C-F-Am-F,C-F-Am-F,C-F-Am-F,C-F-Am-F-C,C,C-F-Am-F-C,F-Am-F-C
Evermore,champagne problems,False,False,champagne problems,39,NONE,C-G-Am-F,NONE,C-G-Am-F,NONE,C-G-Am-F,C-G
The Tortured Poets Department,the alchemy,False,False,the alchemy,213,NONE,C-F-C-F-G,F-C,C-F-Am-F,C-F-Am-F,C-C-D-G-C,C-F-
Lover,the archer,False,False,the archer,106,NONE,G-Am-F,C-G-Am-F,C-F-Am-F,NONE,C-G-Am-F,C-F-Am-F
Midnights,labyrinth,False,False,labyrinth,118,C-F-Am-F,C-F-Am-F,Am-F-Am-F,C-F-Am-F,C-F-Am-F,NONE,NONE
Reputation,getaway car,False,False,getaway car,180,N.C,C-G-Dm-F,C-G-Dm-F,C-Dm-F,NONE,D-A-Em-GD-A-Em-Gm,D-A-Em-G
Fearless (Taylor's Version),we were happy (taylor's version) (from the vault),False,False,we were happy taylors version from the vault,78,C-G-F,C-G-F-Am,NONE,C-G-Am-F,NONE,Am-F-C-G,Am-F-C-G-F
