Midnights,bigger than the whole sky,NONE,Bm Asus2 G G,NONE,F C Gm B,NONE,Gm B F C,NONE,FALSE,FALSE,bigger than the whole sky,134,
RED (Taylor's Version),red (taylor's version),A C#m Bb,Gbm E Bb B,NONE,A Eb Bb C#m,A C#m Bb Eb,A Bb,A C#m Bb,FALSE,FALSE,red taylors version,144,
RED (Taylor's Version),i almost do (taylor's version),A Eb Bb C#m,G Dm C,NONE,Eb Bb A  Eb,A Eb Bb,C#m A Bb Eb,A Eb C#m Bb,FALSE,FALSE,i almost do taylors version,146,
RED (Taylor's Version),girl at home (taylor's version),BRIDGE,Fm A#,Dbm Bb E B,Bb E B,Bb Dbm B Bb,B Dbm Bb B,Bb E B,FALSE,FALSE,girl at home taylors version,154,
RED (Taylor's Version),ronan (taylor's version),C Am F,F Am G,NONE,F G C Am,F Am G,C Am F G,NONE,FALSE,FALSE,ronan taylors version,150,
RED (Taylor's Version),stay stay stay (taylor's version),C F Am G,Eb Bb A,NONE,G C F Am,NONE,Am F C G,NONE,FALSE,FALSE,stay stay stay taylors version,139,
RED (Taylor's Version),all too well (taylor's version),C G Am F,Eb A,C G Am F,C G Am F,NONE,C G Am F,C G Am F,TRUE,FALSE,all too well taylors version,166,
RED (Taylor's Version),all too well (10 minute version) (taylor's version) (from the vault),C G Am F,E Gbm E Bb,C G Am F,C G Am F,NONE,C G Am F,F G C Am,TRUE,TRUE,all too well 10 minute version taylors version from the vault,143,
RED (Taylor's Version),forever winter (taylor's version) (from the vault),C G D,E Bb E B,C G D,Em C D,C Em D C,C Em D,C G D,FALSE,FALSE,forever winter taylors version from the vault,147,
RED (Taylor's Version),the moment i knew (taylor's version),C G D,E B Gbm Bb,NONE,C G D,NONE,C G D,C G D,FALSE,FALSE,the moment i knew taylors version,157,
RED (Taylor's Version),we are never ever getting back together (taylor's version),C G D Em,E B Dbm Bb,C G D Em,C G D Em,D Em,C G D Em,G D Em D,FALSE,FALSE,we are never ever getting back together taylors version,160,
RED (Taylor's Version),starlight (taylor's version),CHORUS,F Bb,NONE,A Bb Eb C#m,NONE,A Bb  Bb,A Bb Gm C#m,FALSE,FALSE,starlight taylors version,145,
RED (Taylor's Version),the very first night (taylor's version) (from the vault),CHORUS,A F#m Db Eb,Am C G D,C G D C,C Em D C,G Em A C,NONE,FALSE,FALSE,the very first night taylors version from the vault,138,
